;name;position;age;market_value;country_from;league_from;club_from;country_to;league_to;club_to;fee
416;Kevin Mbabu;Right-Back;27;9000000;Germany;Bundesliga;VfL Wolfsburg;England;Premier League;Fulham FC;5000000
454;Patrick Wimmer;Right Winger;21;8000000;Germany;2. Bundesliga;Arminia Bielefeld;Germany;Bundesliga;VfL Wolfsburg;5000000
455;Flavius Daniliuc;Centre-Back;21;8000000;France;Ligue 1;OGC Nice;Italy;Serie A;US Salernitana 1919;5000000
456;Francisco Conceição;Right Winger;19;8000000;Portugal;Liga Portugal;FC Porto;Netherlands;Eredivisie;Ajax Amsterdam;5000000
457;Anders Dreyer;Right Winger;24;8000000;Russia;1.Division;Rubin Kazan;Denmark;Superligaen;FC Midtjylland;5000000
458;Carlos Vinícius;Centre-Forward;27;8000000;Portugal;Liga Portugal;SL Benfica;England;Premier League;Fulham FC;5000000
459;Martín Ojeda;Left Winger;24;8000000;Argentina;Liga Profesional;CD Godoy Cruz Antonio Tomba;United States;MLS;Orlando City SC;5000000
498;Julian Ryerson;Right-Back;25;7000000;Germany;Bundesliga;1.FC Union Berlin;Germany;Bundesliga;Borussia Dortmund;5000000
520;Cristian Arango;Centre-Forward;27;7000000;United States;MLS;Los Angeles FC;Mexico;Liga MX Clausura;CF Pachuca;5000000
521;Luan Peres;Centre-Back;28;7000000;France;Ligue 1;Olympique Marseille;Turkey;Süper Lig;Fenerbahce;5000000
600;Christian Benteke;Centre-Forward;31;6000000;England;Premier League;Crystal Palace;United States;MLS;D.C. United;5000000
601;Jonathan Rodríguez;Centre-Forward;28;6000000;Saudi Arabia;Saudi Pro League;Al-Nassr FC;Mexico;Liga MX Clausura;CF América;5000000
663;Vakoun Bayo;Centre-Forward;25;3000000;Belgium;Jupiler Pro League;RSC Charleroi;England;Championship;Watford FC;5000000
664;Darko Gyabi;Central Midfield;18;-;England;Premier League 2;Manchester City U21;England;Premier League 2;Leeds United U21;5000000
666;Jean Meneses;Left Winger;29;3000000;Mexico;Liga MX Clausura;Club León FC;Mexico;Liga MX Clausura;Deportivo Toluca;5000000
667;Juan Ignacio Nardoni;Central Midfield;20;2000000;Argentina;Liga Profesional;Club Atlético Unión;Argentina;Liga Profesional;Racing Club;5000000
668;Maximiliano Araújo;Left Midfield;22;4000000;Mexico;Liga MX Clausura;Puebla FC;Mexico;Liga MX Clausura;Deportivo Toluca;5000000
669;Joel Mugisha Mvuka;Right Winger;20;1000000;Norway;Eliteserien;FK Bodø/Glimt;France;Ligue 1;FC Lorient;5000000
670;Isaak Touré;Centre-Back;19;5000000;France;Ligue 2;AC Le Havre;France;Ligue 1;Olympique Marseille;5000000
671;Williot Swedberg;Attacking Midfield;18;5000000;Sweden;Allsvenskan;Hammarby IF;Spain;LaLiga;Celta de Vigo;5000000
672;Johan Mojica;Left-Back;30;5000000;Spain;LaLiga;Elche CF;Spain;LaLiga;Villarreal CF;5000000
673;Vincent Janssen;Centre-Forward;28;2000000;Mexico;Liga MX Clausura;CF Monterrey;Belgium;Jupiler Pro League;Royal Antwerp FC;5000000
674;Casper Nielsen;Central Midfield;28;5000000;Belgium;Jupiler Pro League;Royale Union Saint Gilloise;Belgium;Jupiler Pro League;Club Brugge KV;5000000
675;Gennaro Tutino;Centre-Forward;25;3000000;Italy;Serie A;SSC Napoli;Italy;Serie B;Parma Calcio 1913;5000000
676;Arne Maier;Central Midfield;23;5000000;Germany;Bundesliga;Hertha BSC;Germany;Bundesliga;FC Augsburg;5000000
682;Abdulrahman Ghareeb;Left Winger;25;3000000;Saudi Arabia;Without League;Al-Ahli Saudi FC;Saudi Arabia;Saudi Pro League;Al-Nassr FC;5000000
683;Jordi Cortizo;Right Winger;26;2000000;Mexico;Liga MX Clausura;Puebla FC;Mexico;Liga MX Clausura;CF Monterrey;5000000
684;Anthony Modeste;Centre-Forward;34;3000000;Germany;Bundesliga;1. FC Köln;Germany;Bundesliga;Borussia Dortmund;5000000
688;Oriol Romeu;Defensive Midfield;30;5000000;England;Premier League;Southampton FC;Spain;LaLiga;Girona FC;5000000
689;Petar Musa;Centre-Forward;24;5000000;Portugal;Liga Portugal;Boavista FC;Portugal;Liga Portugal;SL Benfica;5000000
690;Jurgen Ekkelenkamp;Central Midfield;22;3000000;Germany;Bundesliga;Hertha BSC;Belgium;Jupiler Pro League;Royal Antwerp FC;5000000
691;Pietro Pellegri;Centre-Forward;21;4000000;Monaco;Ligue 1;AS Monaco;Italy;Serie A;Torino FC;5000000
692;Ko Itakura;Centre-Back;25;5000000;England;Premier League;Manchester City;Germany;Bundesliga;Borussia Mönchengladbach;5000000
693;Bruno Tabata;Attacking Midfield;25;4000000;Portugal;Liga Portugal;Sporting CP;Brazil;Série A;Sociedade Esportiva Palmeiras;5000000
694;Rares Ilie;Left Winger;19;1000000;Romania;SuperLiga;FC Rapid 1923;France;Ligue 1;OGC Nice;5000000
695;Aboubakar Kamara;Centre-Forward;27;3000000;Greece;Super League 1;Aris Thessaloniki;Greece;Super League 1;Olympiacos Piraeus;5000000
696;Thomas Henry;Centre-Forward;27;5000000;Italy;Serie B;Venezia FC;Italy;Serie A;Hellas Verona;5000000
697;Pablo Torre;Central Midfield;19;3000000;Spain;LaLiga2;Racing Santander;Spain;LaLiga;FC Barcelona;5000000
698;Brice Samba;Goalkeeper;28;2000000;England;Premier League;Nottingham Forest;France;Ligue 1;RC Lens;5000000
699;Igor Paixão;Left Winger;22;800k;Brazil;Série A;Coritiba Foot Ball Club;Netherlands;Eredivisie;Feyenoord Rotterdam;5000000
700;Rares Ilie;Left Winger;19;1000000;Romania;SuperLiga;FC Rapid 1923;France;Ligue 1;OGC Nice;5000000
701;Adam Masina;Left-Back;28;3000000;England;Championship;Watford FC;Italy;Serie A;Udinese Calcio;5000000
702;Leo Östigard;Centre-Back;22;5000000;England;Premier League;Brighton & Hove Albion;Italy;Serie A;SSC Napoli;5000000
703;Luis Milla;Central Midfield;27;5000000;Spain;LaLiga2;Granada CF;Spain;LaLiga;Getafe CF;5000000
704;Federico Bonazzoli;Centre-Forward;25;5000000;Italy;Serie A;UC Sampdoria;Italy;Serie A;US Salernitana 1919;5000000
705;Jurgen Ekkelenkamp;Central Midfield;22;3000000;Germany;Bundesliga;Hertha BSC;Belgium;Jupiler Pro League;Royal Antwerp FC;5000000
706;Bruno Tabata;Attacking Midfield;25;4000000;Portugal;Liga Portugal;Sporting CP;Brazil;Série A;Sociedade Esportiva Palmeiras;5000000
707;Jorge Sánchez;Right-Back;24;5000000;Mexico;Liga MX Clausura;CF América;Netherlands;Eredivisie;Ajax Amsterdam;5000000
708;Igor Paixão;Left Winger;22;800k;Brazil;Série A;Coritiba Foot Ball Club;Netherlands;Eredivisie;Feyenoord Rotterdam;5000000
709;Emiliano Martínez;Defensive Midfield;23;3000000;Brazil;Paulistão A1 - Primeira fase;Red Bull Bragantino;Denmark;Superligaen;FC Midtjylland;5000000
710;Tolu Arokodare;Centre-Forward;22;2000000;France;Ligue 2;Amiens SC;Belgium;Jupiler Pro League;KRC Genk;5000000
711;Dante Vanzeir;Centre-Forward;24;5000000;Belgium;Jupiler Pro League;Royale Union Saint Gilloise;United States;MLS;New York Red Bulls;5000000
894;Brian Rodríguez;Left Winger;22;4000000;United States;MLS;Los Angeles FC;Mexico;Liga MX Clausura;CF América;5000000
895;Janis Antiste;Centre-Forward;20;4000000;Italy;Serie A;Spezia Calcio;Italy;Serie A;US Sassuolo;5000000
134;Lucas Torreira;Defensive Midfield;26;20000000;England;Premier League;Arsenal FC;Turkey;Süper Lig;Galatasaray;6000000
229;Arthur Theate;Centre-Back;22;15000000;Belgium;Jupiler Pro League;KV Oostende;Italy;Serie A;Bologna FC 1909;6000000
292;Angelo Fulgini;Attacking Midfield;25;12000000;France;Ligue 1;Angers SCO;Germany;Bundesliga;1.FSV Mainz 05;6000000
329;Ludovic Ajorque;Centre-Forward;28;11000000;France;Ligue 1;RC Strasbourg Alsace;Germany;Bundesliga;1.FSV Mainz 05;6000000
357;Sofiane Boufal;Left Winger;29;10000000;France;Ligue 1;Angers SCO;Qatar;Stars League;Al-Rayyan SC;6000000
413;Adam Buksa;Centre-Forward;25;9000000;United States;MLS;New England Revolution;France;Ligue 1;RC Lens;6000000
414;Andreas Cornelius;Centre-Forward;29;9000000;Turkey;Süper Lig;Trabzonspor;Denmark;Superligaen;FC Copenhagen;6000000
415;Facundo Buonanotte;Attacking Midfield;18;9000000;Argentina;Liga Profesional;CA Rosario Central;England;Premier League;Brighton & Hove Albion;6000000
453;Lucas Alario;Centre-Forward;29;8000000;Germany;Bundesliga;Bayer 04 Leverkusen;Germany;Bundesliga;Eintracht Frankfurt;6000000
497;Takefusa Kubo;Right Winger;21;7000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Real Sociedad;6000000
515;Samuel Lino;Left Winger;22;7000000;Portugal;Liga Portugal;Gil Vicente FC;Spain;LaLiga;Atlético de Madrid;6000000
516;Jorge Carrascal;Attacking Midfield;24;7000000;Argentina;Liga Profesional;CA River Plate;Russia;Premier Liga;CSKA Moscow;6000000
517;Jordan;Centre-Forward;26;7000000;Switzerland;Super League;BSC Young Boys;Germany;Bundesliga;1.FC Union Berlin;6000000
518;Giuliano Galoppo;Attacking Midfield;23;7000000;Argentina;Liga Profesional;CA Banfield;Brazil;Série A;São Paulo Futebol Clube;6000000
519;Matheus Martins;Left Winger;19;7000000;Brazil;Carioca - Taça Guanabara;Fluminense Football Club;Italy;Serie A;Udinese Calcio;6000000
563;Miguel Borja;Centre-Forward;29;3000000;Colombia;Liga DIMAYOR II;Junior FC;Argentina;Liga Profesional;CA River Plate;6000000
564;Yira Sor;Right Winger;22;4000000;Czech Republic;Fortuna Liga;SK Slavia Prague;Belgium;Jupiler Pro League;KRC Genk;6000000
565;Sávio;Right Winger;18;6000000;Brazil;Série A;Clube Atlético Mineiro;France;Ligue 1;ESTAC Troyes;6000000
566;Stipe Biuk;Left Winger;20;5000000;Croatia;SuperSport HNL;HNK Hajduk Split;United States;MLS;Los Angeles FC;6000000
567;Samir Caetano;Centre-Back;27;5000000;England;Championship;Watford FC;Mexico;Liga MX Clausura;Tigres UANL;6000000
568;Cyriel Dessers;Centre-Forward;27;6000000;Belgium;Jupiler Pro League;KRC Genk;Italy;Serie A;US Cremonese;6000000
569;Gedson Fernandes;Central Midfield;23;6000000;Portugal;Liga Portugal;SL Benfica;Turkey;Süper Lig;Besiktas JK;6000000
570;Alberth Elis;Right Winger;26;6000000;Portugal;Liga Portugal;Boavista FC;France;Ligue 2;FC Girondins Bordeaux;6000000
585;Matt Turner;Goalkeeper;28;5000000;United States;MLS;New England Revolution;England;Premier League;Arsenal FC;6000000
587;Felix Afena-Gyan;Centre-Forward;19;6000000;Italy;Serie A;AS Roma;Italy;Serie A;US Cremonese;6000000
588;Jayden Oosterwolde;Left-Back;21;2000000;Italy;Serie B;Parma Calcio 1913;Turkey;Süper Lig;Fenerbahce;6000000
589;Yusuf Demir;Right Winger;19;5000000;Austria;Bundesliga;Rapid Vienna;Turkey;Süper Lig;Galatasaray;6000000
590;Pep Biel;Attacking Midfield;25;6000000;Denmark;Superligaen;FC Copenhagen;Greece;Super League 1;Olympiacos Piraeus;6000000
591;David Hancko;Centre-Back;24;4000000;Czech Republic;Fortuna Liga;AC Sparta Prague;Netherlands;Eredivisie;Feyenoord Rotterdam;6000000
592;Bjorn Meijer;Left-Back;19;3000000;Netherlands;Eredivisie;FC Groningen;Belgium;Jupiler Pro League;Club Brugge KV;6000000
593;Kiki Kouyaté;Centre-Back;25;3000000;France;Ligue 2;FC Metz;France;Ligue 1;Montpellier HSC;6000000
594;Fernando;Centre-Forward;23;5000000;Ukraine;Premier Liga;Shakhtar Donetsk;Austria;Bundesliga;Red Bull Salzburg;6000000
595;Fausto Vera;Defensive Midfield;22;6000000;Argentina;Liga Profesional;AA Argentinos Juniors;Brazil;Série A;Sport Club Corinthians Paulista;6000000
596;Matías Galarza;Central Midfield;20;800k;Argentina;Liga Profesional;AA Argentinos Juniors;Belgium;Jupiler Pro League;KRC Genk;6000000
597;Enzo Copetti;Centre-Forward;27;6000000;Argentina;Liga Profesional;Racing Club;United States;MLS;Charlotte FC;6000000
598;Djordje Mihailovic;Attacking Midfield;24;6000000;Canada;MLS;CF Montréal;Netherlands;Eredivisie;AZ Alkmaar;6000000
599;Mario Gila;Centre-Back;21;500k;Spain;Primera Federación - Gr. I;Real Madrid Castilla;Italy;Serie A;SS Lazio;6000000
11;Romelu Lukaku;Centre-Forward;29;70000000;England;Premier League;Chelsea FC;Italy;Serie A;Inter Milan;7000000
162;Mattia Zaccagni;Left Winger;27;18000000;Italy;Serie A;Hellas Verona;Italy;Serie A;SS Lazio;7000000
163;Zeki Celik;Right-Back;25;18000000;France;Ligue 1;LOSC Lille;Italy;Serie A;AS Roma;7000000
228;Jonathan Clauss;Right-Back;29;15000000;France;Ligue 1;RC Lens;France;Ligue 1;Olympique Marseille;7000000
354;Joe Aribo;Attacking Midfield;25;10000000;Scotland;Premiership;Rangers FC;England;Premier League;Southampton FC;7000000
355;Beto;Centre-Forward;24;10000000;Portugal;Liga Portugal;Portimonense SC;Italy;Serie A;Udinese Calcio;7000000
356;Ozan Kabak;Centre-Back;22;10000000;Germany;Bundesliga;FC Schalke 04;Germany;Bundesliga;TSG 1899 Hoffenheim;7000000
449;Marcos Antônio;Central Midfield;22;8000000;Ukraine;Premier Liga;Shakhtar Donetsk;Italy;Serie A;SS Lazio;7000000
450;Abner;Left-Back;22;8000000;Brazil;Série A;Club Athletico Paranaense;Spain;LaLiga;Real Betis Balompié;7000000
451;Bamba Dieng;Centre-Forward;22;8000000;France;Ligue 1;Olympique Marseille;France;Ligue 1;FC Lorient;7000000
452;Kaiky;Centre-Back;18;8000000;Brazil;Série A;Santos FC;Spain;LaLiga;UD Almería;7000000
491;Vedat Muriqi;Centre-Forward;28;7000000;Italy;Serie A;SS Lazio;Spain;LaLiga;RCD Mallorca;7000000
493;Bartol Franjic;Defensive Midfield;22;4000000;Croatia;SuperSport HNL;GNK Dinamo Zagreb;Germany;Bundesliga;VfL Wolfsburg;7000000
494;Ousmane Diomande;Centre-Back;19;400k;Denmark;Superligaen;FC Midtjylland;Portugal;Liga Portugal;Sporting CP;7000000
495;Jota;Left Winger;23;7000000;Portugal;Liga Portugal;SL Benfica;Scotland;Premiership;Celtic FC;7000000
496;Nicolò Casale;Centre-Back;24;7000000;Italy;Serie A;Hellas Verona;Italy;Serie A;SS Lazio;7000000
505;Quinten Timber;Central Midfield;21;4000000;Netherlands;Eredivisie;FC Utrecht;Netherlands;Eredivisie;Feyenoord Rotterdam;7000000
506;Malick Thiaw;Centre-Back;21;6000000;Germany;Bundesliga;FC Schalke 04;Italy;Serie A;AC Milan;7000000
507;Oscar Gloukh;Attacking Midfield;18;4000000;Israel;Ligat ha'Al;Maccabi Tel Aviv;Austria;Bundesliga;Red Bull Salzburg;7000000
508;Cameron Carter-Vickers;Centre-Back;24;7000000;England;Premier League;Tottenham Hotspur;Scotland;Premiership;Celtic FC;7000000
509;Strahinja Pavlovic;Centre-Back;21;5000000;Monaco;Ligue 1;AS Monaco;Austria;Bundesliga;Red Bull Salzburg;7000000
510;Casper Tengstedt;Centre-Forward;22;3000000;Norway;Eliteserien;Rosenborg BK;Portugal;Liga Portugal;SL Benfica;7000000
511;Ayrton Lucas;Left-Back;25;6000000;Russia;Premier Liga;Spartak Moscow;Brazil;Carioca - Taça Guanabara;CR Flamengo;7000000
512;Lázaro;Left Winger;20;7000000;Brazil;Série A;CR Flamengo;Spain;LaLiga;UD Almería;7000000
513;Matteo Lovato;Centre-Back;22;7000000;Italy;Serie A;Atalanta BC;Italy;Serie A;US Salernitana 1919;7000000
514;Aaron Boupendza;Centre-Forward;26;7000000;Qatar;Stars League;Al-Arabi SC;Saudi Arabia;Saudi Pro League;Al-Shabab Club (Riyadh);7000000
687;Christopher Martins Pereira;Defensive Midfield;25;5000000;Switzerland;Super League;BSC Young Boys;Russia;Premier Liga;Spartak Moscow;7000000
91;Pedro Porro;Right-Back;22;25000000;England;Premier League;Manchester City;Portugal;Liga Portugal;Sporting CP;8000000
92;Raúl de Tomás;Centre-Forward;27;25000000;Spain;LaLiga;RCD Espanyol Barcelona;Spain;LaLiga;Rayo Vallecano;8000000
109;Cengiz Ünder;Right Winger;24;22000000;Italy;Serie A;AS Roma;France;Ligue 1;Olympique Marseille;8000000
202;Duje Caleta-Car;Centre-Back;25;16000000;France;Ligue 1;Olympique Marseille;England;Premier League;Southampton FC;8000000
203;Arkadiusz Milik;Centre-Forward;28;16000000;Italy;Serie A;SSC Napoli;France;Ligue 1;Olympique Marseille;8000000
227;Azzedine Ounahi;Central Midfield;22;15000000;France;Ligue 1;Angers SCO;France;Ligue 1;Olympique Marseille;8000000
288;Samuele Ricci;Defensive Midfield;20;12000000;Italy;Serie A;FC Empoli;Italy;Serie A;Torino FC;8000000
289;Antonin Barak;Attacking Midfield;28;12000000;Italy;Serie A;Hellas Verona;Italy;Serie A;ACF Fiorentina;8000000
290;Billy Gilmour;Central Midfield;21;12000000;England;Premier League;Chelsea FC;England;Premier League;Brighton & Hove Albion;8000000
291;Luiz Henrique;Right Winger;21;12000000;Brazil;Série A;Fluminense Football Club;Spain;LaLiga;Real Betis Balompié;8000000
327;Joshua Zirkzee;Centre-Forward;21;11000000;Germany;Bundesliga;Bayern Munich;Italy;Serie A;Bologna FC 1909;8000000
328;Matheus Henrique;Central Midfield;24;11000000;Brazil;Série B;Grêmio Foot-Ball Porto Alegrense;Italy;Serie A;US Sassuolo;8000000
351;Guglielmo Vicario;Goalkeeper;25;10000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;FC Empoli;8000000
352;Rolando Mandragora;Defensive Midfield;25;10000000;Italy;Serie A;Juventus FC;Italy;Serie A;ACF Fiorentina;8000000
353;Gerónimo Rulli;Goalkeeper;30;10000000;Spain;LaLiga;Villarreal CF;Netherlands;Eredivisie;Ajax Amsterdam;8000000
411;Josip Juranovic;Right-Back;27;9000000;Scotland;Premiership;Celtic FC;Germany;Bundesliga;1.FC Union Berlin;8000000
412;Jhon Lucumí;Centre-Back;24;9000000;Belgium;Jupiler Pro League;KRC Genk;Italy;Serie A;Bologna FC 1909;8000000
437;Omar Richards;Left-Back;24;7000000;Germany;Bundesliga;Bayern Munich;England;Premier League;Nottingham Forest;8000000
438;Julien Duranville;Right Winger;16;5000000;Belgium;Jupiler Pro League;RSC Anderlecht;Germany;Bundesliga;Borussia Dortmund;8000000
439;Ritsu Doan;Right Winger;24;8000000;Netherlands;Eredivisie;PSV Eindhoven;Germany;Bundesliga;SC Freiburg;8000000
441;Yann Sommer;Goalkeeper;34;5000000;Germany;Bundesliga;Borussia Mönchengladbach;Germany;Bundesliga;Bayern Munich;8000000
442;Alexander Bah;Right-Back;24;7000000;Czech Republic;Fortuna Liga;SK Slavia Prague;Portugal;Liga Portugal;SL Benfica;8000000
443;Nathan Ngoumou;Right Winger;22;2000000;France;Ligue 1;FC Toulouse;Germany;Bundesliga;Borussia Mönchengladbach;8000000
444;El Bilal Touré;Centre-Forward;20;6000000;France;Ligue 1;Stade Reims;Spain;LaLiga;UD Almería;8000000
445;César Montes;Centre-Back;25;7000000;Mexico;Liga MX Clausura;CF Monterrey;Spain;LaLiga;RCD Espanyol Barcelona;8000000
446;André Almeida;Central Midfield;22;5000000;Portugal;Liga Portugal;Vitória Guimarães SC;Spain;LaLiga;Valencia CF;8000000
447;Simon Adingra;Left Winger;20;1000000;Denmark;Superligaen;FC Nordsjaelland;England;Premier League;Brighton & Hove Albion;8000000
448;Ismaël Koné;Central Midfield;20;6000000;Canada;MLS;CF Montréal;England;Championship;Watford FC;8000000
686;Andrea Cambiaso;Left-Back;22;5000000;Italy;Serie B;Genoa CFC;Italy;Serie A;Juventus FC;8000000
133;Remo Freuler;Central Midfield;30;20000000;Italy;Serie A;Atalanta BC;England;Premier League;Nottingham Forest;9000000
226;Mattias Svanberg;Central Midfield;23;15000000;Italy;Serie A;Bologna FC 1909;Germany;Bundesliga;VfL Wolfsburg;9000000
263;Sasa Lukic;Central Midfield;26;13000000;Italy;Serie A;Torino FC;England;Premier League;Fulham FC;9000000
287;Marko Grujić;Defensive Midfield;26;12000000;England;Premier League;Liverpool FC;Portugal;Liga Portugal;FC Porto;9000000
350;Ademola Lookman;Second Striker;24;10000000;Germany;Bundesliga;RB Leipzig;Italy;Serie A;Atalanta BC;9000000
395;Loïs Openda;Centre-Forward;22;7000000;Belgium;Jupiler Pro League;Club Brugge KV;France;Ligue 1;RC Lens;9000000
396;Cucho Hernández;Centre-Forward;23;9000000;England;Championship;Watford FC;United States;MLS;Columbus Crew;9000000
397;João Victor;Centre-Back;23;8000000;Brazil;Série A;Sport Club Corinthians Paulista;Portugal;Liga Portugal;SL Benfica;9000000
398;José Manuel López;Centre-Forward;21;8000000;Argentina;Liga Profesional;Club Atlético Lanús;Brazil;Série A;Sociedade Esportiva Palmeiras;9000000
399;Ahmetcan Kaplan;Centre-Back;19;2000000;Turkey;Süper Lig;Trabzonspor;Netherlands;Eredivisie;Ajax Amsterdam;9000000
400;Ahmetcan Kaplan;Centre-Back;19;2000000;Turkey;Süper Lig;Trabzonspor;Netherlands;Eredivisie;Ajax Amsterdam;9000000
401;Evander;Central Midfield;24;9000000;Denmark;Superligaen;FC Midtjylland;United States;MLS;Portland Timbers;9000000
403;Lewis O'Brien;Central Midfield;23;3000000;England;Championship;Huddersfield Town;England;Premier League;Nottingham Forest;9000000
404;Alphonse Areola;Goalkeeper;29;8000000;France;Ligue 1;Paris Saint-Germain;England;Premier League;West Ham United;9000000
405;Gabriel Slonina;Goalkeeper;18;3000000;United States;MLS;Chicago Fire FC;England;Premier League;Chelsea FC;9000000
406;Andrea Colpani;Central Midfield;23;2000000;Italy;Serie A;Atalanta BC;Italy;Serie A;AC Monza;9000000
407;Perr Schuurs;Centre-Back;22;7000000;Netherlands;Eredivisie;Ajax Amsterdam;Italy;Serie A;Torino FC;9000000
408;Christopher Wooh;Centre-Back;20;3000000;France;Ligue 1;RC Lens;France;Ligue 1;Stade Rennais FC;9000000
409;Andreas Schjelderup;Left Winger;18;9000000;Denmark;Superligaen;FC Nordsjaelland;Portugal;Liga Portugal;SL Benfica;9000000
410;Jonas Omlin;Goalkeeper;29;7000000;France;Ligue 1;Montpellier HSC;Germany;Bundesliga;Borussia Mönchengladbach;9000000
685;Brandon Soppy;Right-Back;20;5000000;Italy;Serie A;Udinese Calcio;Italy;Serie A;Atalanta BC;9000000
161;Moussa Niakhaté;Centre-Back;26;18000000;Germany;Bundesliga;1.FSV Mainz 05;England;Premier League;Nottingham Forest;10000000
185;Giovanni Simeone;Centre-Forward;26;17000000;Italy;Serie B;Cagliari Calcio;Italy;Serie A;Hellas Verona;10000000
201;St. Juste;Centre-Back;25;16000000;Germany;Bundesliga;1.FSV Mainz 05;Portugal;Liga Portugal;Sporting CP;10000000
283;Gabriel Veron;Left Winger;19;12000000;Brazil;Série A;Sociedade Esportiva Palmeiras;Portugal;Liga Portugal;FC Porto;10000000
284;Luís Maximiano;Goalkeeper;23;12000000;Spain;LaLiga2;Granada CF;Italy;Serie A;SS Lazio;10000000
285;Willian José;Centre-Forward;30;12000000;Spain;LaLiga;Real Sociedad;Spain;LaLiga;Real Betis Balompié;10000000
286;Owen Wijndal;Left-Back;22;12000000;Netherlands;Eredivisie;AZ Alkmaar;Netherlands;Eredivisie;Ajax Amsterdam;10000000
332;Flynn Downes;Central Midfield;23;2000000;Wales;Championship;Swansea City;England;Premier League;West Ham United;10000000
333;Gabriel Sara;Central Midfield;23;6000000;Brazil;Série A;São Paulo Futebol Clube;England;Championship;Norwich City;10000000
334;James Garner;Defensive Midfield;21;7000000;England;Premier League 2;Manchester United U21;England;Premier League;Everton FC;10000000
335;Antoine Semenyo;Centre-Forward;23;3000000;England;Championship;Bristol City;England;Premier League;AFC Bournemouth;10000000
336;Nicolás Ibáñez;Centre-Forward;28;7000000;Mexico;Liga MX Clausura;CF Pachuca;Mexico;Liga MX Clausura;Tigres UANL;10000000
339;Jakub Kaminski;Left Winger;20;10000000;Poland;Ekstraklasa;Lech Poznan;Germany;Bundesliga;VfL Wolfsburg;10000000
340;Rúben Vinagre;Left-Back;23;5000000;England;Premier League;Wolverhampton Wanderers;Portugal;Liga Portugal;Sporting CP;10000000
341;Jens Petter Hauge;Right Winger;22;8000000;Italy;Serie A;AC Milan;Germany;Bundesliga;Eintracht Frankfurt;10000000
342;Giulian Biancone;Right-Back;22;4000000;France;Ligue 1;ESTAC Troyes;England;Premier League;Nottingham Forest;10000000
343;Kristian Thorstvedt;Attacking Midfield;23;5000000;Belgium;Jupiler Pro League;KRC Genk;Italy;Serie A;US Sassuolo;10000000
344;Luis Suárez;Centre-Forward;24;9000000;Spain;LaLiga2;Granada CF;France;Ligue 1;Olympique Marseille;10000000
345;Junya Ito;Right Winger;29;7000000;Belgium;Jupiler Pro League;KRC Genk;France;Ligue 1;Stade Reims;10000000
346;Borja Mayoral;Centre-Forward;25;9000000;Spain;LaLiga;Real Madrid;Spain;LaLiga;Getafe CF;10000000
347;Raphael Onyedika;Defensive Midfield;21;5000000;Denmark;Superligaen;FC Midtjylland;Belgium;Jupiler Pro League;Club Brugge KV;10000000
348;Armand Laurienté;Left Winger;23;7000000;France;Ligue 1;FC Lorient;Italy;Serie A;US Sassuolo;10000000
349;Jeffinho;Left Winger;23;1000000;Brazil;Carioca - Taça Guanabara;Botafogo de Futebol e Regatas;France;Ligue 1;Olympique Lyon;10000000
26;João Félix;Second Striker;23;50000000;Spain;LaLiga;Atlético de Madrid;England;Premier League;Chelsea FC;11000000
55;Jorginho;Defensive Midfield;31;35000000;England;Premier League;Chelsea FC;England;Premier League;Arsenal FC;11000000
90;Mattéo Guendouzi;Central Midfield;23;25000000;England;Premier League;Arsenal FC;France;Ligue 1;Olympique Marseille;11000000
160;Neal Maupay;Centre-Forward;26;18000000;England;Premier League;Brighton & Hove Albion;England;Premier League;Everton FC;11000000
184;Jordan Veretout;Defensive Midfield;29;17000000;Italy;Serie A;AS Roma;France;Ligue 1;Olympique Marseille;11000000
223;Nick Pope;Goalkeeper;30;15000000;England;Championship;Burnley FC;England;Premier League;Newcastle United;11000000
224;Khvicha Kvaratskhelia;Left Winger;21;15000000;Georgia;Crystalbet Erovnuli Liga;Dinamo Batumi;Italy;Serie A;SSC Napoli;11000000
225;Momo Cho;Centre-Forward;18;15000000;France;Ligue 1;Angers SCO;Spain;LaLiga;Real Sociedad;11000000
320;Marcus Tavernier;Central Midfield;23;4000000;England;Championship;Middlesbrough FC;England;Premier League;AFC Bournemouth;11000000
321;Julio Enciso;Second Striker;18;11000000;Paraguay;Primera División Clausura;Club Libertad Asunción;England;Premier League;Brighton & Hove Albion;11000000
322;Youssouf Ndayishimiye;Centre-Back;24;7000000;Turkey;Süper Lig;Basaksehir FK;France;Ligue 1;OGC Nice;11000000
323;Máximo Perrone;Defensive Midfield;20;8000000;Argentina;Liga Profesional;CA Vélez Sarsfield;England;Premier League;Manchester City;11000000
324;Mario Lemina;Defensive Midfield;29;7000000;France;Ligue 1;OGC Nice;England;Premier League;Wolverhampton Wanderers;11000000
325;Lyle Foster;Centre-Forward;22;2000000;Belgium;Jupiler Pro League;KVC Westerlo;England;Championship;Burnley FC;11000000
326;Amin Sarr;Centre-Forward;21;3000000;Netherlands;Eredivisie;SC Heerenveen;France;Ligue 1;Olympique Lyon;11000000
338;Armel Bella-Kotchap;Centre-Back;20;10000000;Germany;Bundesliga;VfL Bochum;England;Premier League;Southampton FC;11000000
492;Jean-Victor Makengo;Central Midfield;24;7000000;Italy;Serie A;Udinese Calcio;France;Ligue 1;FC Lorient;11000000
